Obs,Availability,Location,Size,Sqft,Bath,Balcony,Price
10001,Under Construction,Binny Pete,4,2940,6,2,280
10002,Ready To Move,Whitefield,3,1545,3,2,79
10003,Ready To Move,Yelahanka,3,1371,2,2,65
10004,Ready To Move,Electronic City,2,1089,2,2,45
10005,Ready To Move,Hebbal,3,2400,4,1,180
10006,Ready To Move,Electronic City,2,1110,2,1,40
10007,Ready To Move,Electronic City,2,550,1,1,15
10008,Ready To Move,Indira Nagar,2,1400,2,2,168
10009,Under Construction,Varthur,2,1097,2,1,33.82
10010,Under Construction,Devanahalli,2,1174,2,1,59
10011,Ready To Move,Subramanyapura,2,929,2,1,48
10012,Ready To Move,7th Phase JP Nagar,2,1175,2,2,82.5
10013,Ready To Move,HSR Layout,3,1600,2,2,115
10014,Ready To Move,Whitefield,4,3004,4,2,285
10015,Under Construction,Marathahalli,1,607,1,1,35
10016,Ready To Move,Whitefield,4,3000,4,3,306
10017,Under Construction,Chandapura,2,975,2,1,24.86
10018,Ready To Move,Kanakpura Road,3,1482,3,3,60.98
